Symbol,TotalTrades,StartingEquity,FinalEquity,TotalProfit,PctGain,MaxEquity,MinEquity,MaxDrawdownPct
A,251,100000.0,132865.0773487357,32865.07734873571,32.8650773487357,134071.12025847292,100434.59174714661,-25.08857123478878
AA,363,100000.0,137391.21886457124,37391.218864571245,37.39121886457124,138832.44879492756,89099.05240954003,-35.82260258107945
AAL,229,100000.0,104938.67575948694,4938.675759486941,4.938675759486942,108021.98632981078,68888.26863895748,-36.22754868751528
AAPL,256,100000.0,128473.44957751277,28473.449577512773,28.47344957751277,130726.16805183064,99531.38059024503,-23.862695531025913
ABBV,266,100000.0,120575.52837363671,20575.528373636713,20.57552837363671,121153.29288385036,100755.61370250715,-16.836256527421387
ABNB,210,100000.0,139452.136016602,39452.13601660199,39.45213601660198,142015.08989398074,99318.94417285488,-30.06451339290777
ABT,206,100000.0,105815.33768199092,5815.337681990917,5.8153376819909175,105815.33768199092,93888.98777300835,-11.270908518786829
ACAD,266,100000.0,173987.41463544976,73987.41463544976,73.98741463544977,173987.41463544976,99612.84251731404,-42.74709884848302
ACB,102,100000.0,77986.62537165053,-22013.37462834947,-22.013374628349467,126071.78543551115,77246.30050897508,-38.72832034373902
ACGL,217,100000.0,111613.80656154802,11613.806561548015,11.613806561548015,112040.02557019576,95630.7140509106,-14.645936963843642
ACN,175,100000.0,103457.45081068415,3457.450810684153,3.4574508106841533,113997.71964451762,99507.0133108492,-12.711400174367707
ADBE,120,100000.0,109999.22411250758,9999.224112507582,9.999224112507582,110009.04192201403,96798.35780436876,-12.008725725482087
ADI,228,100000.0,140145.62422947292,40145.624229472916,40.145624229472915,141432.4049149189,99845.92952051203,-29.40378155870569
ADM,233,100000.0,129154.64138003033,29154.641380030327,29.154641380030327,140424.81997969604,100213.0024078533,-28.635833449996195
ADP,128,100000.0,101865.73320226342,1865.7332022634218,1.8657332022634219,101865.73320226342,89687.82913369451,-11.954858307836066
ADSK,160,100000.0,108044.66231955777,8044.66231955777,8.04466231955777,116409.25052078355,100118.72512624996,-13.994184587267917
AEE,128,100000.0,98726.82338348308,-1273.1766165169247,-1.2731766165169247,105545.68902357154,98726.82338348308,-6.460581860966018
AEP,247,100000.0,124951.4581493822,24951.458149382204,24.951458149382205,131931.5746926505,100192.86478079128,-24.056947691102852
AES,195,100000.0,158276.34203283908,58276.34203283908,58.27634203283908,158490.24577615457,91287.34640533672,-42.40191504638878
AFL,200,100000.0,104942.75801111014,4942.7580111101415,4.942758011110142,106030.97391708319,97299.28165879211,-8.235039192528127
AGIO,100,100000.0,131247.9178312955,31247.91783129549,31.247917831295492,148243.95612015715,99911.76470588235,-32.60314462675281
AIG,166,100000.0,121393.8501482512,21393.850148251193,21.393850148251193,121393.8501482512,99872.11331214098,-17.728852664139886
AIZ,60,100000.0,119095.23070815718,19095.230708157178,19.095230708157178,119238.3481165895,100397.61934911992,-15.80089716527052
AJG,67,100000.0,106057.72254903047,6057.72254903047,6.05772254903047,106057.72254903047,99516.82810529238,-6.1672967196841615
AKAM,152,100000.0,136856.5248336933,36856.524833693285,36.856524833693285,136856.5248336933,99561.54006941349,-27.25115577032246
ALB,295,100000.0,207714.44047407113,107714.44047407113,107.71444047407113,211040.37828772565,91530.01484076168,-56.62914576661125
ALGN,121,100000.0,134078.63198079367,34078.63198079367,34.078631980793666,136233.12274559424,100719.64794201397,-26.068164692883965
ALL,165,100000.0,132341.41849261668,32341.418492616678,32.34141849261668,132341.41849261668,97077.31507569861,-26.646309083414764
ALLE,133,100000.0,131584.77036945612,31584.77036945612,31.584770369456123,131882.5186480989,100703.61860999424,-23.641419922604808
ALNY,174,100000.0,151349.02694575218,51349.02694575218,51.34902694575217,153023.4697053287,95040.41187200596,-37.8916109698587
AMAT,294,100000.0,157238.73159788107,57238.731597881066,57.23873159788106,157238.73159788107,100578.22921128312,-36.0346982011406
AMC,64,100000.0,116613.70032292209,16613.700322922086,16.613700322922085,116613.70032292209,98563.76794452664,-15.478397759793472
AMCR,117,100000.0,118342.45341424232,18342.45341424232,18.34245341424232,118342.45341424232,98086.9918057852,-17.115972353180407
AMD,335,100000.0,202715.2946031582,102715.2946031582,102.7152946031582,202853.3383775656,100685.57717028023,-50.36533390302071
AME,143,100000.0,117068.22274393792,17068.22274393792,17.06822274393792,117664.88924062025,99089.25481858302,-15.786896619645606
AMGN,162,100000.0,132980.96819866594,32980.96819866594,32.98096819866594,136808.06052644935,101707.74647887325,-25.656612565449016
AMLP,124,100000.0,113209.89940034939,13209.899400349386,13.209899400349387,114190.93891683892,99818.62231608198,-12.586214578044386
AMP,101,100000.0,100159.08707094379,159.0870709437877,0.1590870709437877,105881.0990125069,91543.8888231433,-13.540858871959818
AMT,129,100000.0,125980.57568328567,25980.57568328567,25.98057568328567,125980.57568328567,99110.43396958185,-21.328797370520977
AMZN,340,100000.0,110463.21282691456,10463.212826914561,10.463212826914562,110463.21282691456,85793.1663420043,-22.33326901650588
ANET,359,100000.0,97520.41222004153,-2479.5877799584705,-2.4795877799584707,136306.7256837992,92595.6509961041,-32.06817159491814
AON,104,100000.0,113915.49998412673,13915.499984126727,13.915499984126727,114168.39000168174,100414.22933751294,-12.04725814559196
AOS,209,100000.0,137477.9420442371,37477.942044237105,37.4779420442371,137652.23198822397,96688.21296999336,-29.75906632718825
APA,247,100000.0,150550.27904277045,50550.279042770446,50.55027904277044,150550.27904277045,96014.3074290659,-36.22442413289131
APD,110,100000.0,111824.4140363419,11824.4140363419,11.8244140363419,113151.9380707313,100078.14164949917,-11.554195751432637
APH,319,100000.0,91937.78699294783,-8062.213007052167,-8.062213007052167,113665.51362948705,87162.20005558555,-23.31693468635857
APO,220,100000.0,135163.3043351412,35163.304335141205,35.163304335141206,135267.63577255915,98796.95884680511,-26.96186468955245
APP,197,100000.0,112419.8366502844,12419.8366502844,12.4198366502844,122316.1500461277,84080.71282093147,-31.25951659758498
APTV,198,100000.0,131058.5441467667,31058.544146766697,31.0585441467667,131608.23914443344,96469.17903944857,-26.699741850068754
ARE,117,100000.0,130698.53383856894,30698.53383856894,30.698533838568938,131688.63284846992,100961.06724748162,-23.333498826998657
ARM,172,100000.0,160177.5072682856,60177.50726828561,60.17750726828561,160177.5072682856,74182.2193802559,-53.687492928700586
ASML,266,100000.0,113822.97270305245,13822.972703052452,13.822972703052452,115681.73630709767,93744.71619896892,-18.963252807593626
ATO,100,100000.0,110418.4177850787,10418.417785078695,10.418417785078695,110418.4177850787,95554.72236134498,-13.461246521993104
AVB,54,100000.0,106917.91019973773,6917.910199737729,6.9179101997377295,106917.91019973773,99904.21588777803,-6.559887205854594
AVGO,293,100000.0,112155.6286764667,12155.628676466702,12.155628676466703,122263.647389932,95964.97147327552,-21.509808089384777
AVY,74,100000.0,107138.73957483239,7138.739574832391,7.138739574832391,119921.6013293949,100330.53221288515,-16.336563971238128
AWK,111,100000.0,101618.2790456221,1618.2790456220973,1.6182790456220972,104010.26058345154,96236.90411441545,-7.47364387458603
AXON,98,100000.0,131740.93154553077,31740.931545530766,31.740931545530763,135308.24695822992,94301.46152154516,-30.30619815017165
AXP,260,100000.0,153942.21516401364,53942.21516401364,53.94221516401364,153942.21516401364,100232.2528526709,-34.8896904296972
AXSM,98,100000.0,139728.9032871422,39728.903287142195,39.728903287142195,139728.9032871422,100591.82541150361,-28.0092929629685
AZN,237,100000.0,123307.35562004338,23307.35562004338,23.30735562004338,126889.97648880951,100058.32578343718,-21.145603023843755
AZO,32,100000.0,100945.7909849893,945.790984989304,0.945790984989304,102219.65962011668,99730.2160608429,-2.4353862735655865
BA,244,100000.0,135525.69437178347,35525.694371783466,35.525694371783466,135824.88519659816,100264.39678879955,-26.181129000276336
BABA,223,100000.0,136727.66612907522,36727.66612907522,36.727666129075224,140015.58175646735,100401.23714787261,-28.292811494007125
BAC,300,100000.0,150794.1229770481,50794.1229770481,50.7941229770481,152304.45809597478,100112.06993163734,-34.268457284059515
BALL,132,100000.0,125700.5282226916,25700.528222691602,25.700528222691606,126645.05088086332,99890.61703976744,-21.125526544471228
BAX,114,100000.0,119174.81595638653,19174.815956386534,19.174815956386535,119174.81595638653,100360.65573770492,-15.787026871152781
BBD,85,100000.0,107047.43416276776,7047.434162767764,7.047434162767765,112301.36111617033,98609.11944363803,-12.192409367477154
BBY,170,100000.0,108641.64821628775,8641.648216287751,8.64164821628775,108641.64821628775,91516.52131276486,-15.762948357916628
BDX,154,100000.0,112840.923543183,12840.923543183002,12.840923543183003,114172.78384486427,98927.14929583395,-13.35312500547047
BEN,235,100000.0,127214.5895066415,27214.589506641496,27.214589506641495,128966.04507970493,96974.77017124907,-24.805967251833057
BG,205,100000.0,142388.12298017644,42388.12298017644,42.38812298017644,142388.12298017644,98220.30286818581,-31.01931480488703
BHC,227,100000.0,225090.82559278313,125090.82559278313,125.09082559278313,225090.82559278313,100431.49946062568,-55.38178901954958
BIDU,293,100000.0,119380.38447317746,19380.38447317746,19.380384473177457,125346.97635742814,90927.63717442956,-27.45924966299266
BIIB,199,100000.0,124583.95957789055,24583.95957789055,24.58395957789055,125631.1151699946,91829.14014188551,-26.905735081926796
BK,393,100000.0,145914.62255637193,45914.622556371934,45.91462255637194,146290.21568528784,97893.17659961325,-33.08289543423088
BKNG,62,100000.0,108980.86388071603,8980.863880716031,8.980863880716033,108980.86388071603,94296.99394591428,-13.473805778300532
BKR,273,100000.0,144466.90526407363,44466.90526407363,44.46690526407364,160575.75548415742,100213.47565043361,-37.591154188702674
BLDR,145,100000.0,86636.14512099788,-13363.854879002116,-13.363854879002115,109511.97705724489,84627.54379473701,-22.7230243953135
BLK,80,100000.0,112620.98518100071,12620.98518100071,12.62098518100071,115998.62186820277,100314.07129268548,-13.521324928616846
BMO,144,100000.0,113721.80366566485,13721.803665664847,13.721803665664847,119370.48880136263,100249.30747922437,-16.018348851663568
BMY,306,100000.0,143985.9900007488,43985.9900007488,43.98599000074881,146148.02756123687,93815.89525390221,-35.80762134159299
BNS,304,100000.0,158407.45346029432,58407.45346029432,58.40745346029431,158407.45346029432,99699.19866387727,-37.061548250400094
BOOT,122,100000.0,146904.06156231297,46904.06156231297,46.90406156231297,146904.06156231297,99701.98495872573,-32.13122639469387
BP,247,100000.0,112954.38023521587,12954.380235215867,12.954380235215869,113023.25075863184,94113.30134071,-16.731025953505103
BR,79,100000.0,103815.89864124291,3815.8986412429076,3.8158986412429075,105792.84067028822,92816.63047772847,-12.265678953645967
BRO,73,100000.0,105062.91501717479,5062.91501717479,5.06291501717479,105256.91925329185,96168.97662051243,-8.634057216618755
BSX,227,100000.0,110827.83814493252,10827.838144932524,10.827838144932525,111377.73089387728,95554.21487830236,-14.207073432526517
BX,230,100000.0,121878.21621883994,21878.216218839938,21.87821621883994,128689.61812115504,99742.58310878326,-22.49368320070664
BXP,122,100000.0,130746.85145069477,30746.85145069477,30.746851450694766,130746.85145069477,100426.92471894123,-23.189794932222384
BYD,187,100000.0,113379.10313538449,13379.103135384488,13.379103135384488,118771.33587929554,100140.46822742476,-15.686333334504955
BYND,106,100000.0,222904.0929892134,122904.09298921339,122.90409298921338,235900.74756733593,96467.99739513922,-59.10653171304461
BZH,74,100000.0,102851.12501412742,2851.1250141274213,2.851125014127421,102851.12501412742,86145.0605878187,-16.242957404708996
BZUN,51,100000.0,101480.21115741861,1480.2111574186129,1.480211157418613,110469.7246842251,92225.71144954022,-16.5149440598634
C,398,100000.0,127726.18820783295,27726.18820783295,27.72618820783295,127726.18820783295,99028.33881027673,-22.46825791971477
CAG,91,100000.0,107904.68536253432,7904.685362534321,7.9046853625343205,110454.24886463939,99494.49381800018,-9.922438619876258
CAH,150,100000.0,130542.17384210747,30542.17384210747,30.542173842107466,132344.90826156645,97495.93799260745,-26.33193125955666
CAR,138,100000.0,113669.6947425459,13669.694742545893,13.669694742545893,123210.74078111195,96289.33639066537,-21.849884368663417
CARR,192,100000.0,94617.14750289454,-5382.852497105458,-5.382852497105457,115629.04698722925,86318.75519957597,-25.348554322073134
CAT,386,100000.0,99161.6793962514,-838.3206037485943,-0.8383206037485942,120521.51292210235,97499.32568247824,-19.102139262476918
CB,230,100000.0,132297.9188869358,32297.918886935804,32.297918886935804,132297.9188869358,100162.24441607053,-24.290385473356537
CBRE,186,100000.0,133194.33207189696,33194.33207189696,33.194332071896966,133194.33207189696,100262.36342725705,-24.72475227163838
CCEP,197,100000.0,110423.44406262462,10423.444062624621,10.423444062624622,110423.44406262462,99106.02181656405,-10.249111809664349
CCI,151,100000.0,104662.20596607597,4662.20596607597,4.66220596607597,116234.52117380452,97018.16278756574,-16.532402071416215
