Symbol,TotalTrades,StartingEquity,FinalEquity,TotalProfit,PctGain,MaxEquity,MinEquity,MaxDrawdownPct
A,60,100000.0,112512.76290126683,12512.762901266833,12.512762901266832,112512.76290126683,99967.57759208733,-11.150010883821478
AA,109,100000.0,141163.3841687249,41163.38416872491,41.16338416872491,141163.3841687249,101649.7979426892,-27.99138491806577
AAL,114,100000.0,137057.31766755707,37057.31766755707,37.05731766755707,137170.67689183867,99720.75477833519,-27.30169666147624
AAPL,147,100000.0,130106.16180390734,30106.161803907336,30.106161803907337,130106.16180390734,99833.39188667388,-23.267744968804625
ABBV,146,100000.0,135485.3707861671,35485.3707861671,35.485370786167096,135485.3707861671,100204.4474753958,-26.040393221829255
ABNB,226,100000.0,167507.23524004832,67507.23524004832,67.50723524004833,167941.0594178104,100273.74017734843,-40.292302236891665
ABT,231,100000.0,137496.66005503832,37496.660055038315,37.49666005503832,137496.66005503832,98724.85454144288,-28.19836168971343
ACAD,122,100000.0,144504.41376965056,44504.413769650564,44.50441376965056,144678.82542448805,101245.3589391861,-30.020610381559322
ACB,157,100000.0,171610.94663440902,71610.94663440902,71.61094663440902,176190.88330702315,98586.40648404195,-44.045682368111386
ACGL,106,100000.0,120589.0120574489,20589.012057448897,20.589012057448898,120633.7014579702,100111.48227833767,-17.012011512208
ACN,251,100000.0,151262.25101017946,51262.25101017946,51.26225101017946,152383.43741902144,100076.83000412844,-34.32565133116217
ADBE,299,100000.0,152421.67281591176,52421.67281591176,52.42167281591177,153575.67670216193,99327.91754082205,-35.32314512704096
ADI,121,100000.0,132530.99817767084,32530.998177670845,32.530998177670845,133390.29125701374,100266.00934852469,-24.832603329927398
ADM,174,100000.0,120836.27722426801,20836.277224268008,20.836277224268006,120836.27722426801,97340.43265466091,-19.444363157596797
ADP,139,100000.0,119146.15183818931,19146.15183818931,19.14615183818931,119146.15183818931,100224.85410230004,-15.88074599470574
ADSK,195,100000.0,134486.48599735158,34486.485997351585,34.486485997351586,134486.48599735158,99774.8896363895,-25.8104716645252
AEE,132,100000.0,110685.33743750378,10685.337437503782,10.685337437503781,110685.33743750378,100047.14529777436,-9.611202699486785
AEP,133,100000.0,126461.24223576646,26461.24223576646,26.461242235766463,126461.24223576646,99998.06637757421,-20.925918004866624
AES,162,100000.0,153271.06801685732,53271.068016857316,53.27106801685731,153271.06801685732,100049.75912281683,-34.72364979422405
AFL,176,100000.0,139039.67520943072,39039.675209430716,39.03967520943071,139039.67520943072,99977.09262502725,-28.09455828026413
AGIO,93,100000.0,142899.44686267767,42899.446862677665,42.899446862677664,142953.64877939125,100651.7552955118,-29.591335265013434
AIG,202,100000.0,124654.01100108927,24654.011001089268,24.65401100108927,124654.01100108927,99432.64233467585,-20.233098368726395
AIZ,44,100000.0,108249.14511017958,8249.145110179583,8.249145110179583,108249.14511017958,100313.42678347457,-7.330975518215664
AJG,180,100000.0,127063.09053380178,27063.090533801776,27.063090533801777,127397.3098859403,100006.9340265272,-21.499964076114235
AKAM,144,100000.0,121593.63184559337,21593.631845593365,21.593631845593364,124189.51368761485,100392.1656335868,-19.162123554076935
ALB,121,100000.0,115198.85003030054,15198.850030300542,15.198850030300543,117850.15749603807,101674.71209019495,-13.72543384711803
ALGN,108,100000.0,111220.90480486634,11220.904804866339,11.220904804866338,112389.54320527756,99853.38720680065,-11.154201397170766
ALL,126,100000.0,118976.73222597322,18976.732225973217,18.976732225973215,119933.31199223404,100062.87040901503,-16.567908659527113
ALLE,84,100000.0,115693.21168797521,15693.211687975214,15.693211687975214,115693.21168797521,99533.06370200402,-13.96810387592588
ALNY,125,100000.0,131003.03815868894,31003.03815868894,31.003038158688938,131027.58949215597,100231.37229906303,-23.50361272191195
AMAT,123,100000.0,138283.8372475316,38283.8372475316,38.2838372475316,138283.8372475316,99755.97887589587,-27.86143278817891
AMC,84,100000.0,124365.2880115996,24365.288011599594,24.365288011599596,124365.2880115996,99450.27022155195,-20.033739468945555
AMCR,189,100000.0,147882.94006562064,47882.94006562064,47.882940065620645,148860.8325218299,100033.80797790295,-32.80045107685841
AMD,192,100000.0,126699.12663237986,26699.126632379863,26.699126632379862,127757.74427559678,93627.93714676434,-26.71447223990447
AME,95,100000.0,113313.69698163657,13313.696981636574,13.313696981636575,113722.0362221429,99406.90804974728,-12.587822596170072
AMGN,200,100000.0,129568.19583186993,29568.195831869933,29.568195831869932,129568.19583186993,99967.28790939374,-22.845813150695466
AMLP,128,100000.0,105393.2297372742,5393.229737274203,5.393229737274203,105471.1259067738,98993.07265104148,-6.1420158361239885
AMP,74,100000.0,113440.19843060705,13440.198430607052,13.440198430607051,113440.19843060705,100182.49824441533,-11.686950807214643
AMT,211,100000.0,139106.9560409931,39106.9560409931,39.106956040993104,139106.9560409931,100156.46698671121,-28.00038917018906
AMZN,203,100000.0,128370.65658387975,28370.656583879754,28.370656583879754,129816.81914516792,100497.82882091925,-22.584893480915323
ANET,102,100000.0,109142.20815486662,9142.208154866617,9.142208154866617,112432.06027752832,99490.9819666655,-11.510131788850037
AON,106,100000.0,110384.09260297149,10384.09260297149,10.38409260297149,111236.29534098953,100533.22836879433,-9.621919661550631
AOS,111,100000.0,116702.14414189006,16702.144141890065,16.702144141890066,117570.47232295998,99795.3949220382,-15.118657814093456
APA,106,100000.0,122139.80675495433,22139.806754954334,22.139806754954332,122139.80675495433,98140.03962476124,-19.64942287680474
APD,172,100000.0,131336.80970593306,31336.80970593306,31.33680970593306,131518.12678722103,100051.60876105221,-23.92561298951398
APH,51,100000.0,108405.56224480722,8405.562244807224,8.405562244807225,108405.56224480722,100345.12273212381,-7.435448279379704
APO,165,100000.0,139635.67001165327,39635.670011653274,39.635670011653275,139635.67001165327,99726.5966637868,-28.58085856181008
APP,97,100000.0,120391.35495631275,20391.354956312745,20.391354956312746,124208.0925015762,96234.79716908521,-22.52131464955555
APTV,159,100000.0,146530.93972983386,46530.93972983386,46.53093972983386,147055.58644969197,99819.13306417233,-32.12149536507362
ARE,221,100000.0,172392.6514216601,72392.65142166009,72.39265142166009,172392.6514216601,99002.5451683776,-42.5714818166904
ARM,158,100000.0,156003.01519604708,56003.01519604708,56.00301519604708,156003.01519604708,101133.88568362588,-35.171839110588884
ASML,108,100000.0,123976.05839779388,23976.05839779388,23.97605839779388,124479.0854497288,100265.73820297349,-19.451739349847593
ATO,81,100000.0,119434.96974177516,19434.96974177516,19.43496974177516,119700.6236154694,100477.04623427546,-16.05971364271957
AVB,101,100000.0,124014.35649575622,24014.35649575622,24.01435649575622,124600.9614763249,100370.54968142079,-19.446408364600035
AVGO,79,100000.0,113620.06738487959,13620.067384879585,13.620067384879587,114875.66347964891,98495.8100772944,-14.258767180270798
AVY,58,100000.0,110337.91036744023,10337.910367440229,10.337910367440228,110463.84069040888,99561.77753853127,-9.869350082107173
AWK,152,100000.0,119978.07895799646,19978.078957996462,19.978078957996463,119978.07895799646,99738.58124842444,-16.8693297020181
AXON,91,100000.0,144148.45464223987,44148.45464223987,44.14845464223987,144148.45464223987,98121.3446488429,-31.93035271008006
AXP,111,100000.0,134545.3050629986,34545.30506299861,34.54530506299861,134687.4360237755,99669.30842108128,-25.999550244992925
AXSM,31,100000.0,102640.46771729094,2640.4677172909433,2.640467717290943,104442.82183998039,98921.52584548548,-5.286429356489654
AZN,154,100000.0,115427.92182896592,15427.921828965918,15.427921828965918,115437.3873078078,100298.8921766762,-13.11403132398136
AZO,51,100000.0,115748.48023226271,15748.480232262707,15.748480232262708,115748.48023226271,100817.71987303912,-12.899314383448738
BA,218,100000.0,148353.98621622357,48353.986216223566,48.35398621622357,148353.98621622357,96893.68002520419,-34.68751160890062
BABA,230,100000.0,144899.16950584413,44899.169505844126,44.89916950584413,144899.16950584413,99760.78799062525,-31.151580557125513
BAC,106,100000.0,124367.81289763525,24367.812897635245,24.367812897635247,124433.16253088707,100198.00053213515,-19.47644944950766
BALL,245,100000.0,144316.4479940866,44316.4479940866,44.3164479940866,144621.87369944926,100036.09330484329,-30.829209478549135
BAX,223,100000.0,173870.70603882818,73870.70603882818,73.87070603882819,174218.81792990852,95777.27745282374,-45.02472316661182
BBD,71,100000.0,112968.82075259207,12968.820752592073,12.968820752592073,114035.32312678557,99837.1335504886,-12.450694387484916
BBY,209,100000.0,159376.09397701162,59376.093977011624,59.37609397701162,159519.1658275476,100203.31645755374,-37.18415217524321
BDX,169,100000.0,127097.29419795658,27097.29419795658,27.09729419795658,129958.76217736484,100158.72021902486,-22.930383037712794
BEN,224,100000.0,157651.44164400574,57651.44164400574,57.65144164400574,157651.44164400574,99089.69543643147,-37.14634360262504
BG,159,100000.0,156924.4401415149,56924.440141514904,56.92444014151491,157297.7612384702,100873.29949907726,-35.87111558050151
BHC,152,100000.0,145789.98549030523,45789.98549030523,45.789985490305234,145789.98549030523,99693.05402425579,-31.618722857417943
BIDU,156,100000.0,148693.48230757593,48693.482307575934,48.693482307575934,151415.9400535235,98125.58539011411,-35.19467940071036
BIIB,94,100000.0,124901.08371023778,24901.083710237785,24.901083710237785,125512.93243202948,100565.47232514613,-19.876406059107456
BK,103,100000.0,123388.91694901651,23388.916949016508,23.388916949016508,123388.91694901651,99342.85303373143,-19.48802575617124
BKNG,77,100000.0,125379.34080308392,25379.34080308392,25.37934080308392,126126.84839500245,100419.85162117604,-20.38185929558595
BKR,152,100000.0,145117.15402402857,45117.15402402857,45.117154024028565,145117.15402402857,100227.2074468085,-30.933590779893027
BLDR,182,100000.0,168506.70356356728,68506.70356356728,68.50670356356729,168506.70356356728,97824.97886067654,-41.945942332333885
BLK,53,100000.0,106767.96998159093,6767.969981590926,6.767969981590927,106885.4234710003,100348.52493584514,-6.115799818979729
BMO,108,100000.0,105009.42656518392,5009.426565183923,5.009426565183923,106026.94230783002,100055.51379535606,-5.6319916263707706
BMY,155,100000.0,116864.42547725573,16864.425477255732,16.864425477255732,119116.63363850063,100046.7958271237,-16.009382761143794
BNS,72,100000.0,107686.47977128193,7686.479771281927,7.6864797712819275,107686.47977128193,99618.51883224313,-7.492083459478424
BOOT,121,100000.0,136541.70738331083,36541.70738331083,36.54170738331083,138107.44037571116,99322.05376680213,-28.083488118667777
BP,100,100000.0,118552.26297717386,18552.262977173858,18.552262977173857,118618.19688924329,100012.56046705588,-15.685313813663807
BR,82,100000.0,112055.2980540003,12055.298054000305,12.055298054000305,112055.2980540003,99656.49280461183,-11.064898728316617
BRO,213,100000.0,118322.34250665335,18322.342506653353,18.322342506653353,119169.791840835,100004.70069605569,-16.082172208856836
BSX,223,100000.0,146238.59926188702,46238.59926188702,46.23859926188702,146432.06440572927,100072.64086897488,-31.65933890565333
