Rank,StrategyName,SignalType,ATRPeriod,StopMultiplier,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore
1,Fixed_ATR_Asymmetric,Short,50,1.5,6.0,60013,16598,43253,0.27657340909469613,7594194.055606831,7261273.974911774,332920.08069505636,1.0458487149562625,457.53669451782326,167.87908295174378,2.7253942925655634,348184.03857805993
2,Fixed_ATR_Asymmetric,Short,30,1.5,6.0,60033,17007,42861,0.28329418819649194,8042871.967472605,7749234.8640139485,293637.1034586578,1.0378923995222102,472.9153858689131,180.79920823158463,2.615693898742956,304763.7178974578
3,Fixed_ATR_Asymmetric,Short,50,1.5,4.0,60013,18669,41210,0.31108259877026645,7244270.584744335,6974933.440252785,269337.1444915508,1.0386150128597915,388.03741950529405,169.25342004981277,2.292641527663614,279737.60178971157
4,Fixed_ATR_Asymmetric,Short,50,1.5,5.0,60013,17285,42578,0.2880209287987603,7431471.621110047,7172281.767683723,259189.85342632415,1.0361377120729083,429.93761186636084,168.45041494865242,2.55230960397109,268556.3817216639
5,Fixed_ATR_Asymmetric,Short,30,1.5,5.0,60033,17611,42262,0.2933553212399847,7898661.190651649,7665232.029261451,233429.1613901973,1.0304529804837086,448.50725061902494,181.37409562399912,2.4728297008234907,240537.77508634143
6,Fixed_ATR_Asymmetric,Short,30,1.5,4.0,60033,18867,41024,0.3142771475688371,7703909.317240749,7486776.77235922,217132.54488152944,1.0290021395700177,408.32720184665015,182.497483725605,2.2374401745757355,223429.8532533767
7,Fixed_ATR_Asymmetric,Short,50,1.5,3.0,60013,21192,38724,0.3531234899105194,6817799.156460511,6608131.049491404,209668.10696910694,1.0317288058300909,321.7157019847353,170.64691275414222,1.8852711531221422,216320.62562389247
8,Fixed_ATR_Asymmetric,Short,20,1.5,6.0,60058,17423,42473,0.2901029005294882,8394917.239032786,8199537.258649628,195379.98038315884,1.0238281715443214,481.8296067860177,193.0529338320728,2.4958419290594023,200035.52807205488
9,Fixed_ATR_Asymmetric,Short,30,1.5,3.0,60033,21288,38645,0.3546049672680026,7304497.153620419,7120873.954589016,183623.19903140352,1.0257866099305224,343.1274499070095,184.26378456693016,1.8621534921441674,188358.218839021
10,Fixed_ATR_Asymmetric,Short,20,1.5,4.0,60058,19123,40795,0.31840887142428986,8129049.924447631,7964629.045553071,164420.87889456097,1.0206438840973218,425.0928162133364,195.2354221241101,2.17733447951421,167815.16446164006
11,Fixed_ATR_Asymmetric,Short,20,1.5,3.0,60058,21376,38580,0.3559226081454594,7775146.093098928,7614777.561905128,160368.5311938001,1.0210601727877233,363.7325080978166,197.37629761288565,1.8428378305646689,163745.92017045492
12,Fixed_ATR_Asymmetric,Short,20,1.5,5.0,60058,17943,41958,0.29876119750907454,8277418.596359975,8129991.093444524,147427.50291545084,1.018133784062116,461.3174272061514,193.76498149207598,2.380809079400227,150100.9214181366
13,Fixed_ATR_Asymmetric,Short,14,1.5,6.0,60081,17904,42006,0.2979977031008139,8744005.43082767,8637029.552770056,106975.87805761435,1.012385725602074,488.38278769144716,205.6141873249073,2.3752387617091557,108300.85192927689
14,Fixed_ATR_Asymmetric,Short,14,1.5,3.0,60081,21588,38377,0.35931492485145056,8190751.1839415785,8095307.937397365,95443.24654421402,1.0117899463840405,379.41222827226136,210.94165613251076,1.7986595688521552,96568.51730368906
15,Fixed_ATR_Asymmetric,Short,50,2.0,4.0,60013,22166,37643,0.36935330678353023,8356412.439001774,8280342.975083079,76069.46391869456,1.0091867527888156,376.9923504015959,219.97032582639744,1.7138327589655054,76768.29527849333
16,Fixed_ATR_Asymmetric,Short,50,2.0,6.0,60013,19915,39859,0.3318447669671571,8751663.864604356,8680173.98340081,71489.88120354386,1.008235996345264,439.4508593825938,217.77199587046366,2.0179401746585928,72078.6716038596
17,Fixed_ATR_Asymmetric,Short,30,2.0,6.0,60033,20401,39395,0.3398297602985025,9261701.498460637,9194549.726254078,67151.77220655893,1.0073034323817744,453.9827213597685,233.39382475578316,1.9451359599372582,67642.21063418586
18,Fixed_ATR_Asymmetric,Short,14,1.5,4.0,60081,19448,40481,0.3236963432699189,8482412.586791683,8428589.60537353,53822.98141815243,1.0063857636850464,436.158606889741,208.21100282536324,2.0947913461401875,54166.68225831339
19,Fixed_ATR_Asymmetric,Short,50,2.0,5.0,60013,20687,39100,0.34470864645993365,8597245.78613499,8547078.77485929,50167.01127569955,1.0058694920916444,415.5868799794552,218.59536508591535,1.9011696785799441,50461.466151643705
20,Fixed_ATR_Asymmetric,Short,14,1.5,5.0,60081,18372,41542,0.3057871872971488,8622243.626844985,8577854.739616541,44388.88722844519,1.00517482384301,469.31437115420124,206.4863208226985,2.2728593801483954,44618.591900439635
21,Fixed_ATR_Asymmetric,Short,50,2.0,3.0,60013,24829,35024,0.4137270258110743,7821769.680475064,7789770.396714821,31999.283760241357,1.004107859683995,315.025562063517,222.41235714695128,1.4164031446120358,32130.732327916765
22,Fixed_ATR_Asymmetric,Short,30,2.0,5.0,60033,21061,38740,0.35082371362417336,9103039.384259313,9074041.014473569,28998.36978574503,1.0031957503541686,432.22256228380957,234.22924663070648,1.8452971543953511,29091.04133625814
23,Fixed_ATR_Asymmetric,Short,30,2.0,4.0,60033,22388,37438,0.3729282228107874,8855546.699132022,8839263.469884694,16283.229247324605,1.0018421477426038,395.54880735804994,236.10405122828928,1.6753156301227266,16313.225361324865
