Rank,StrategyName,SignalType,ATRPeriod,StopMultiplier,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore
1,Fixed_ATR_Symmetric,Short,30,1.5,1.5,60033,29541,30459,0.4920793563540053,5602598.921863504,5686772.273342649,-84173.35147914464,0.9851983959558717,189.65501918904246,186.7025271132555,1.015813883836698,-82927.4508594831
2,Fixed_ATR_Symmetric,Short,20,1.5,1.5,60058,29624,30397,0.4932565186985914,6015874.655646423,6115569.154760511,-99694.49911408749,0.9836982467876301,203.07435375528027,201.1898922512258,1.0093665814070885,-98069.3039928988
3,Fixed_ATR_Symmetric,Short,50,2.0,2.0,60013,29547,30376,0.4923433256127839,6722084.1828041505,6840697.31626619,-118613.13346203862,0.9826606663066358,227.5047951671625,225.20072808355906,1.0102311706681009,-116556.46076052479
4,Fixed_ATR_Symmetric,Short,50,1.5,1.5,60013,29373,30610,0.4894439538100078,5150894.967654796,5278281.409775508,-127386.4421207115,0.9758659244873173,175.36155543032024,172.43650472968008,1.0169630595634354,-124312.08810727826
5,Fixed_ATR_Symmetric,Short,14,1.5,1.5,60081,29645,30397,0.49341722008621697,6444601.0621655565,6585286.025801331,-140684.9636357743,0.978636468775302,217.39251348171888,216.64263005564138,1.0034613844278244,-137679.43602229594
6,Fixed_ATR_Symmetric,Short,30,2.0,2.0,60033,29638,30307,0.4936951343427781,7211872.722976485,7394312.466804901,-182439.74382841567,0.9753270172653052,243.33196312087472,243.98034997871451,0.9973424627930226,-177938.41117881503
7,Fixed_ATR_Symmetric,Short,50,2.5,2.5,60013,29538,30316,0.4921933581057438,8011097.197842997,8237783.727761401,-226686.52991840438,0.9724820974415159,271.2132574257904,271.7305623354467,0.9980962579063238,-220448.59207678886
8,Fixed_ATR_Symmetric,Short,20,2.0,2.0,60058,29610,30357,0.4930234107029871,7703933.288528824,7942862.431187127,-238929.14265830326,0.9699190128586185,260.18011781590087,261.64846431423155,0.9943880943380304,-231741.91819029753
9,Fixed_ATR_Symmetric,Short,30,2.5,2.5,60033,29602,30255,0.4930954641613779,8571794.201853361,8832773.264189683,-260979.06233631948,0.9704533271113844,289.56807654392816,291.9442493534848,0.9918608679060515,-253267.99935069063
10,Fixed_ATR_Symmetric,Short,50,3.0,3.0,60013,29540,30235,0.49222668421841936,9070728.385154832,9363278.79264201,-292550.40748717845,0.9687555594609578,307.065957520475,309.6834394788163,0.9915478788186208,-283409.83367577277
11,Fixed_ATR_Symmetric,Short,14,2.0,2.0,60081,29593,30383,0.4925517218421797,8159363.567671846,8456896.829285678,-297533.26161383337,0.964817678680495,275.7193784905838,278.3430480625902,0.9905739712550089,-287065.3508004951
12,Fixed_ATR_Symmetric,Short,20,2.5,2.5,60058,29529,30344,0.4916747144427054,9064850.422994312,9419582.285032313,-354731.86203800206,0.9623410198771054,306.98128697193647,310.4265187527127,0.9889016189898366,-341373.02189655555
