Date,Equity,Cash,PositionValue,NumPositions
2025-06-02,1000000.0,591327.58,408672.42,5
2025-06-03,934318.69,314468.7973,619849.8927,10
2025-06-04,899590.9512,283201.89849999995,616389.0527,10
2025-06-05,899590.9512,283201.89849999995,616389.0527,10
2025-06-06,899590.9512,283201.89849999995,616389.0527,10
2025-06-09,899590.9512,283201.89849999995,616389.0527,10
2025-06-10,899590.9512,283201.89849999995,616389.0527,10
2025-06-11,899590.9512,283201.89849999995,616389.0527,10
2025-06-12,899590.9512,283201.89849999995,616389.0527,10
2025-06-13,899590.9512,283201.89849999995,616389.0527,10
2025-06-16,899590.9512,283201.89849999995,616389.0527,10
2025-06-17,899590.9512,283201.89849999995,616389.0527,10
2025-06-18,899590.9512,283201.89849999995,616389.0527,10
2025-06-20,899590.9512,283201.89849999995,616389.0527,10
2025-06-23,899590.9512,283201.89849999995,616389.0527,10
2025-06-24,899590.9512,283201.89849999995,616389.0527,10
2025-06-25,899590.9512,283201.89849999995,616389.0527,10
2025-06-26,899590.9512,283201.89849999995,616389.0527,10
2025-06-27,899590.9512,283201.89849999995,616389.0527,10
2025-06-30,899590.9512,283201.89849999995,616389.0527,10
2025-07-01,899590.9512,283201.89849999995,616389.0527,10
2025-07-02,899590.9512,283201.89849999995,616389.0527,10
2025-07-03,899590.9512,283201.89849999995,616389.0527,10
2025-07-07,899590.9512,283201.89849999995,616389.0527,10
2025-07-08,899590.9512,283201.89849999995,616389.0527,10
2025-07-09,899590.9512,283201.89849999995,616389.0527,10
2025-07-10,899590.9512,283201.89849999995,616389.0527,10
2025-07-11,899590.9512,283201.89849999995,616389.0527,10
2025-07-14,899590.9512,283201.89849999995,616389.0527,10
2025-07-15,899590.9512,283201.89849999995,616389.0527,10
2025-07-16,899590.9512,283201.89849999995,616389.0527,10
2025-07-17,899590.9512,283201.89849999995,616389.0527,10
2025-07-18,899590.9512,283201.89849999995,616389.0527,10
2025-07-21,899590.9512,283201.89849999995,616389.0527,10
2025-07-22,899590.9512,283201.89849999995,616389.0527,10
2025-07-23,899590.9512,283201.89849999995,616389.0527,10
