,Value
Risk-Free Rate,0.0
Time in Market,100.0
Cumulative Return,46.73865256462357
CAGR,93.84759452181055
Sharpe,7.91979733250988
Sortino,10.688931077252443
Sortino/√2,7.5582156483608305
Omega,4.056984208558084
Max Drawdown,-1.52050659795252
Longest DD Days,16.0
Volatility (ann.),8.4126881558967
Calmar,61.72126753555927
Skew,0.7911505279723767
Kurtosis,2.2608375519321817
Expected Daily,0.26439200482661956
Expected Monthly,5.514461814955209
Expected Yearly,38.60123270468646
Kelly Criterion,54.1908946986695
Daily Value-at-Risk,-0.570386660881661
Expected Shortfall (cVaR),-0.7178999510313228
Gain/Pain Ratio,0.8584681681567222
Gain/Pain (1M),inf
Payoff Ratio,1.5841557385798233
Profit Factor,4.056984208558084
Common Sense Ratio,7.725014671157459
CPC Index,4.622081887726549
Tail Ratio,1.9041273699961114
Outlier Win Ratio,4.625503160070561
Outlier Loss Ratio,0.0
MTD,3.062474554050354
3M,15.550208250196407
6M,31.928547259724148
YTD,38.60123270468646
1Y,38.60123270468646
All-time (ann.),93.84759452181055
Best Day,2.4825623979997324
Worst Day,-1.0532922369906106
Best Month,7.342903040624737
Worst Month,2.663165171848214
Best Year,38.60123270468646
Worst Year,38.60123270468646
Avg. Drawdown,-0.3257674899780679
Avg. Drawdown Days,1.825
Recovery Factor,30.73886862941653
Ulcer Index,0.004833191503140731
Serenity Index,40174.930926383895
Avg. Up Month,5.514461814955209
Avg. Down Month,0.0
Win Days %,49.763033175355446
Win Month %,100.0
Win Quarter %,100.0
Win Year %,100.0
Prob. Sharpe Ratio,100.0
Smart Sharpe,5.950831389418757
Smart Sortino,9.00488643459291
Smart Sortino/√2,6.367416261715398
