Symbol,EntryTime,ExitTime,EntryPrice,ExitPrice,Shares,EntryValue,ExitValue,NetProfit,PctProfit,Direction
CTAS,2025-06-02 13:31:00,2025-06-02 13:54:00,224.945,223.92,444,99875.58,99420.48,-455.1000000000058,-0.4556669408077588,LONG
TRV,2025-06-02 13:33:00,2025-06-02 13:58:00,273.9,273.1,328,89839.2,89576.8,-262.3999999999942,-0.292077400511129,LONG
COST,2025-06-02 13:54:00,2025-06-02 14:16:00,1050.4,1045.53,86,90334.40000000001,89915.58,-418.820000000007,-0.46363290175172134,LONG
BNS,2025-06-02 15:29:00,2025-06-02 15:50:00,53.535,53.545,1865,99842.775,99861.425,18.65000000000873,0.018679368637348804,LONG
COST,2025-06-02 16:28:00,2025-06-02 17:01:00,1048.89,1049.205,95,99644.55,99674.47499999999,29.92499999998836,0.030031747847713057,LONG
PM,2025-06-02 16:33:00,2025-06-02 16:53:00,181.61,181.58,495,89896.95000000001,89882.1,-14.85000000000582,-0.016518914156715907,LONG
PM,2025-06-02 17:17:00,2025-06-02 17:37:00,181.51,181.74,550,99830.5,99957.0,126.5,0.12671478155473526,LONG
BNS,2025-06-02 17:21:00,2025-06-02 17:54:00,53.385,53.3358,1684,89900.34,89817.4872,-82.8527999999933,-0.09216071930316759,LONG
HRB,2025-06-02 17:33:00,2025-06-02 18:02:00,57.65,57.76,1403,80882.95,81037.28,154.33000000000175,0.1908065915004358,LONG
BNS,2025-06-02 18:25:00,2025-06-02 18:48:00,53.22,53.345,1877,99893.94,100128.565,234.625,0.23487410747839157,LONG
TWLO,2025-06-03 13:30:00,2025-06-03 13:50:00,118.81,117.27,841,99919.21,98624.06999999999,-1295.140000000014,-1.2961871896305164,LONG
GLD,2025-06-03 13:30:00,2025-06-03 13:50:00,309.11,308.33,290,89641.90000000001,89415.7,-226.20000000001164,-0.25233735563392967,LONG
ROKU,2025-06-03 13:30:00,2025-06-03 13:50:00,72.8,72.265,1112,80953.59999999999,80358.68000000001,-594.9199999999837,-0.7348901098900898,LONG
SU,2025-06-03 13:30:00,2025-06-03 13:50:00,36.35,36.43,2004,72845.40000000001,73005.72,160.31999999999243,0.2200825309490955,LONG
GDX,2025-06-03 13:30:00,2025-06-03 13:50:00,52.655,52.72,1245,65555.475,65636.4,80.92499999998836,0.12344506694519163,LONG
FCX,2025-06-03 13:30:00,2025-06-03 13:50:00,39.77,40.02,1484,59018.68000000001,59389.68000000001,371.0,0.628614533568016,LONG
HSBC,2025-06-03 13:30:00,2025-06-03 13:50:00,59.1,59.12,899,53130.9,53148.88,17.979999999995925,0.033840947546523635,LONG
IAU,2025-06-03 13:30:00,2025-06-03 13:50:00,63.255,63.09,756,47820.78,47696.04,-124.73999999999796,-0.2608489447474465,LONG
EFA,2025-06-03 13:30:00,2025-06-03 13:50:00,88.81,88.87,484,42984.04,43013.08,29.040000000000873,0.06755995946402635,LONG
SLV,2025-06-03 13:30:00,2025-06-03 13:50:00,31.215,31.2,1241,38737.815,38719.2,-18.61500000000524,-0.04805382027872568,LONG
L,2025-06-03 13:50:00,2025-06-03 14:02:00,89.015,88.18166666666667,1008,89727.12,88887.12000000001,-839.9999999999854,-0.9361718062498667,LONG
TRV,2025-06-03 13:51:00,2025-06-03 13:59:00,273.97,272.54303333333337,295,80821.15000000001,80400.19483333334,-420.9551666666666,-0.5208477813872564,LONG
PM,2025-06-03 13:50:00,2025-06-03 14:10:00,182.21,181.5099,547,99668.87000000001,99285.9153,-382.9547000000166,-0.38422699083476775,LONG
MA,2025-06-03 13:52:00,2025-06-03 14:12:00,574.5,577.68,126,72387.0,72787.68,400.679999999993,0.553524804177536,LONG
WMT,2025-06-03 13:52:00,2025-06-03 14:12:00,99.69,99.534,657,65496.33,65393.838,-102.49199999999837,-0.15648510382184525,LONG
XLF,2025-06-03 13:52:00,2025-06-03 14:12:00,50.54,50.7,1166,58929.64,59116.200000000004,186.56000000000495,0.31658092599921694,LONG
V,2025-06-03 13:55:00,2025-06-03 14:15:00,361.64,363.67,146,52799.439999999995,53095.82,296.38000000000466,0.5613317110939143,LONG
EBAY,2025-06-03 14:03:00,2025-06-03 14:23:00,74.51,74.82,868,64674.68000000001,64943.759999999995,269.0799999999872,0.41605153670646255,LONG
BA,2025-06-03 14:11:00,2025-06-03 14:31:00,213.655,213.925,319,68155.945,68242.075,86.1299999999901,0.12637195478690832,LONG
ABBV,2025-06-03 14:12:00,2025-06-03 14:32:00,185.03,186.34,438,81043.14,81616.92,573.7799999999988,0.7079932983840443,LONG
GE,2025-06-03 14:58:00,2025-06-03 15:00:00,246.4,245.1986,364,89689.6,89252.2904,-437.3096000000078,-0.48758116883117747,LONG
BA,2025-06-03 14:49:00,2025-06-03 15:09:00,213.8796,213.17,466,99667.89360000001,99337.22,-330.6736000000092,-0.3317754474947679,LONG
GE,2025-06-03 15:01:00,2025-06-03 15:21:00,245.26,246.51,366,89765.16,90222.66,457.5,0.5096632145478268,LONG
PLTR,2025-06-03 15:05:00,2025-06-03 15:25:00,130.58,131.555,618,80698.44,81300.99,602.5500000000029,0.7466687088374979,LONG
ORCL,2025-06-03 15:14:00,2025-06-03 15:34:00,167.515,167.68,493,82584.89499999999,82666.24,81.34500000001572,0.0984986419126836,LONG
XRT,2025-06-03 15:14:00,2025-06-03 15:34:00,77.22,77.28,963,74362.86,74420.64,57.779999999998836,0.07770007770007614,LONG
CNQ,2025-06-03 15:20:00,2025-06-03 15:40:00,31.53,31.6,2123,66938.19,67086.8,148.61000000000058,0.22201078338090793,LONG
SPOT,2025-06-03 15:27:00,2025-06-03 16:01:00,671.16,672.28,115,77183.4,77312.2,128.8000000000029,0.1668752607425987,LONG
BA,2025-06-03 15:41:00,2025-06-03 16:01:00,213.195,213.525,432,92100.23999999999,92242.8,142.56000000001222,0.15478787025963475,LONG
UAL,2025-06-03 15:41:00,2025-06-03 16:01:00,81.02,80.75,1023,82883.45999999999,82607.25,-276.20999999999185,-0.3332510491236634,LONG
USO,2025-06-03 15:52:00,2025-06-03 16:12:00,70.16,70.14,1063,74580.08,74558.82,-21.25999999999476,-0.02850627137969651,LONG
SLV,2025-06-03 15:53:00,2025-06-03 16:13:00,31.26,31.2947,2148,67146.48000000001,67221.0156,74.53559999998834,0.11100447856684122,LONG
JNJ,2025-06-03 16:06:00,2025-06-03 16:26:00,154.49,154.59,554,85587.46,85642.86,55.39999999999418,0.06472910868016667,LONG
ENB,2025-06-03 16:06:00,2025-06-03 16:26:00,47.19,47.2,1633,77061.26999999999,77077.6,16.330000000016298,0.021190930281860525,LONG
BIIB,2025-06-03 16:28:00,2025-06-03 16:54:00,132.98,132.77,750,99734.99999999999,99577.50000000001,-157.4999999999709,-0.1579184839825246,LONG
USO,2025-06-03 16:37:00,2025-06-03 16:57:00,70.04,70.22,1283,89861.32,90092.26,230.93999999998778,0.2569960022843953,LONG
DIS,2025-06-03 16:39:00,2025-06-03 16:58:00,114.4395,114.16615,706,80794.287,80601.3019,-192.98509999999078,-0.23885983423554538,LONG
CEG,2025-06-03 16:40:00,2025-06-03 17:00:00,315.75,316.875,230,72622.5,72881.25,258.75,0.35629453681710216,LONG
CNQ,2025-06-03 16:40:00,2025-06-03 17:01:00,31.45,31.5,2084,65541.8,65646.0,104.19999999999709,0.15898251192368393,LONG
SU,2025-06-03 16:40:00,2025-06-03 17:00:00,36.83,36.93,1601,58964.829999999994,59124.93,160.10000000000582,0.27151778441488905,LONG
WMT,2025-06-03 16:43:00,2025-06-03 17:03:00,99.22,99.3,535,53082.7,53125.5,42.80000000000291,0.08062890546261384,LONG
COST,2025-06-03 16:45:00,2025-06-03 17:11:00,1047.79,1051.85,45,47150.549999999996,47333.24999999999,182.6999999999971,0.38748222449154274,LONG
SPOT,2025-06-03 16:48:00,2025-06-03 17:26:00,674.01,674.0601,63,42462.63,42465.7863,3.156300000002375,0.007433124137629664,LONG
HRB,2025-06-03 16:51:00,2025-06-03 17:22:00,58.73,58.71,661,38820.53,38807.31,-13.220000000001164,-0.03405414609228974,LONG
WDC,2025-06-03 17:06:00,2025-06-03 17:26:00,53.8,53.835,1618,87048.4,87105.03,56.63000000000466,0.06505576208178973,LONG
LVS,2025-06-03 17:17:00,2025-06-03 17:32:00,42.635,42.43,1948,83052.98,82653.64,-399.3399999999965,-0.4808256127594657,LONG
AMD,2025-06-03 17:29:00,2025-06-03 17:49:00,116.955,117.165,783,91575.765,91740.195,164.43000000000757,0.17955623957933364,LONG
AMZN,2025-06-03 17:45:00,2025-06-03 18:02:00,207.295,206.83165000000002,437,90587.915,90385.43105000001,-202.4839499999798,-0.2235220338165194,LONG
