Started,Recovered,Drawdown,Days
2025-08-21,2025-08-25,-0.2625938132771011,4
2025-10-15,2025-10-16,-0.23501082371129023,1
2025-12-19,2025-12-22,-0.23063730157220075,3
2025-07-11,2025-07-15,-0.1908378591596871,4
2025-06-06,2025-06-06,-0.18469832576029077,0
2025-11-19,2025-11-19,-0.14957885945666716,0
2025-09-23,2025-09-23,-0.14705727535887503,0
2025-10-28,2025-10-29,-0.1064248647839161,1
2025-07-29,2025-07-29,-0.08185926315544823,0
2025-11-24,2025-11-25,-0.06888853346896928,1
2025-10-09,2025-10-09,-0.06879431858942686,0
2025-06-23,2025-06-24,-0.062450621876142254,1
2025-09-29,2025-09-30,-0.05962795606104798,1
2025-11-17,2025-11-17,-0.04059005613787914,0
2025-06-04,2025-06-04,-0.03797044734678012,0
2025-11-03,2025-11-03,-0.03659980311638833,0
2025-09-04,2025-09-05,-0.033474668647903716,1
2025-07-02,2025-07-02,-0.020802466127578523,0
2025-06-27,2025-06-27,-0.012810150414432897,0
2025-12-04,2025-12-04,-0.0007119213587314377,0
