Symbol,Strategy,EntryTime,ExitTime,EntryPrice,ExitPrice,Shares,PnL
IBM,SHORT,2025-06-02 09:30:00,2025-06-02 09:55:00,260.655,260.28384000000005,383,142.15427999996862
CSGP,SHORT,2025-06-02 09:30:00,2025-06-02 09:45:00,73.2769,73.313175,1364,-49.47910000000462
CTAS,LONG,2025-06-02 13:31:00,2025-06-02 13:54:00,224.945,223.92,444,-455.1000000000058
TRV,LONG,2025-06-02 13:33:00,2025-06-02 13:58:00,273.9,273.1,365,-291.9999999999935
COST,LONG,2025-06-02 13:54:00,2025-06-02 14:16:00,1050.4,1045.53,95,-462.6500000000077
BNS,LONG,2025-06-02 15:29:00,2025-06-02 15:50:00,53.535,53.545,1865,18.65000000000873
COST,LONG,2025-06-02 16:28:00,2025-06-02 17:01:00,1048.89,1049.205,95,29.92499999998836
PM,LONG,2025-06-02 16:33:00,2025-06-02 16:53:00,181.61,181.58,550,-16.50000000000647
PM,LONG,2025-06-02 17:17:00,2025-06-02 17:37:00,181.51,181.74,550,126.5
BNS,LONG,2025-06-02 17:21:00,2025-06-02 17:54:00,53.385,53.3358,1871,-92.05319999999256
HRB,LONG,2025-06-02 17:33:00,2025-06-02 18:02:00,57.65,57.76,1732,190.52000000000217
BNS,LONG,2025-06-02 18:25:00,2025-06-02 18:48:00,53.22,53.345,1877,234.625
TSLA,SHORT,2025-06-03 09:30:00,2025-06-03 09:35:00,346.24,348.22825,288,-572.6159999999982
GS,SHORT,2025-06-03 09:30:00,2025-06-03 09:35:00,599.22,600.652095,166,-237.72777000000062
CAT,SHORT,2025-06-03 09:30:00,2025-06-03 10:35:00,346.295,347.31986500000005,288,-295.16112000000976
CDNS,SHORT,2025-06-03 09:30:00,2025-06-03 10:50:00,294.2106,293.46698499999997,339,252.0854850000115
TEAM,SHORT,2025-06-03 09:30:00,2025-06-03 10:00:00,208.23,206.286525,479,930.9245249999896
CDW,SHORT,2025-06-03 09:30:00,2025-06-03 10:50:00,176.94,177.86437,564,-521.344680000006
ODFL,SHORT,2025-06-03 09:30:00,2025-06-03 10:55:00,161.0398,161.293005,620,-156.98709999998755
UNP,SHORT,2025-06-03 09:30:00,2025-06-03 11:10:00,219.34,219.1,455,109.20000000000414
SNPS,SHORT,2025-06-03 09:30:00,2025-06-04 10:00:00,468.98,468.68863,213,62.06181000000617
KLAC,SHORT,2025-06-03 09:30:00,2025-06-03 10:40:00,769.08,771.3346,129,-290.8433999999977
GLD,LONG,2025-06-03 13:30:00,2025-06-03 13:50:00,309.11,308.33,323,-251.94000000001293
ROKU,LONG,2025-06-03 13:30:00,2025-06-03 13:50:00,72.8,72.265,1371,-733.4849999999799
SU,LONG,2025-06-03 13:30:00,2025-06-03 13:50:00,36.35,36.43,2747,219.75999999998962
