Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy
A,1635.4774833333795,33.37709149659958,49,LONG
AA,1387.3529500000805,22.743490983607877,61,LONG
AAL,-1459.8895999999804,-58.39558399999922,25,LONG
AAPL,1527.892549999975,27.779864545454092,55,LONG
ABBV,99.53896666666697,1.4219852380952425,70,LONG
ABNB,3736.759966666643,74.73519933333286,50,LONG
ABT,-1044.1860499999602,-22.69969673912957,46,LONG
ACAD,-3250.663083333282,-48.517359452735555,67,LONG
ACB,3655.595716666612,146.22382866666447,25,LONG
ACGL,228.38875000003463,4.758098958334055,48,LONG
ACN,-1615.3051666667088,-41.41808119658228,39,LONG
ADBE,2659.475366666644,83.10860520833262,32,LONG
ADI,1541.8064500000328,29.65012403846217,52,LONG
ADM,1002.6686833333515,19.660170261438264,51,LONG
ADP,525.7270833333241,22.857699275361917,23,LONG
ADSK,97.92819999999483,2.5109794871793545,39,LONG
AEE,91.32314999998925,3.149074137930664,29,LONG
AEP,2877.532750000042,46.41181854838778,62,LONG
AES,489.1280333333416,17.46885833333363,28,LONG
AFL,1099.566583333355,24.434812962963445,45,LONG
AGIO,-1973.0943333334217,-63.64820430107812,31,LONG
AIG,-1442.9916666667705,-57.71966666667082,25,LONG
AIZ,1204.386816666658,66.91037870370322,18,LONG
AJG,2319.974716666642,100.86846594202791,23,LONG
AKAM,3129.129533333311,111.75462619047539,28,LONG
ALB,6839.669666666661,129.0503710691823,53,LONG
ALGN,3791.9503999999724,97.22949743589673,39,LONG
ALL,1419.89055000004,26.790387735849812,53,LONG
ALLE,1790.132466666677,66.30120246913619,27,LONG
ALNY,7318.18601666663,119.97026256830542,61,LONG
AMAT,-893.8432666667286,-16.251695757576883,55,LONG
AMC,-281.9679000000251,-16.586347058825005,17,LONG
AMCR,1428.386200000008,79.35478888888935,18,LONG
AMD,3572.0247499999605,48.931845890410415,73,LONG
AME,-247.00631666669506,-10.291929861112294,24,LONG
AMGN,6050.008899999957,128.72359361702036,47,LONG
AMLP,-243.01855000001524,-11.04629772727342,22,LONG
AMP,-996.0396999999939,-41.50165416666641,24,LONG
AMT,-759.4460833333433,-26.187795977011838,29,LONG
AMZN,5076.357133333389,62.6710757201653,81,LONG
ANET,1394.6962166667145,19.10542762557143,73,LONG
AON,20.27124999996886,0.9214204545440391,22,LONG
AOS,-1521.6931999999724,-43.47694857142778,35,LONG
APA,6994.129033333309,155.4250896296291,45,LONG
APD,-165.36131666666188,-6.124493209876366,27,LONG
APH,-3063.3084500000405,-48.623943650794295,63,LONG
APO,570.2631833333362,12.96052689393946,44,LONG
APP,6491.9630333332825,96.89497064676542,67,LONG
APTV,534.2239166666768,17.2330295698928,31,LONG
ARE,1341.2209333333012,74.5122740740723,18,LONG
ARM,3131.0054333333755,92.08839509804045,34,LONG
ASML,633.6129000001165,8.800179166668284,72,LONG
ATO,272.5836166665613,6.989323504270802,39,LONG
AVB,-571.3415833333347,-51.94014393939406,11,LONG
AVGO,3786.2949666666536,44.02668565891458,86,LONG
AVY,791.6324333333032,43.979579629627956,18,LONG
AWK,1464.4653000000035,48.81551000000012,30,LONG
AXON,-114.5576166666433,-3.695406989246558,31,LONG
AXP,1675.3634166666234,31.02524845678932,54,LONG
AXSM,6816.77563333336,158.52966589147348,43,LONG
AZN,889.3966333333738,17.103781410257188,52,LONG
AZO,-1072.1508333333477,-97.46825757575888,11,LONG
BA,299.40795000001526,5.443780909091187,55,LONG
BABA,-1808.055250000005,-43.04893452380964,42,LONG
BAC,1509.9483166666396,35.115077131782314,43,LONG
BALL,1616.6139666666713,70.28756376811614,23,LONG
