Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy
AAPL,2052.6428399999795,410.5285679999959,5,SHORT
ABBV,1923.0508199999986,384.6101639999997,5,SHORT
ABT,-389.5134599999979,-389.5134599999979,1,SHORT
ACAD,424.6603199999987,424.6603199999987,1,SHORT
ACN,447.46540000001613,74.57756666666936,6,SHORT
ADBE,755.7042100000024,75.57042100000024,10,SHORT
ADI,222.6801049999906,222.6801049999906,1,SHORT
ADP,2264.714629999954,323.5306614285649,7,SHORT
ADSK,1138.8720500000081,379.6240166666694,3,SHORT
AGIO,1259.9468900000227,419.98229666667424,3,SHORT
AIZ,1216.5491600000187,304.13729000000467,4,SHORT
AJG,1.8378799999768631,0.2297349999971079,8,SHORT
ALB,-2909.9079699999975,-1454.9539849999987,2,SHORT
ALGN,2374.588839999999,1187.2944199999995,2,SHORT
ALL,458.8818150000032,229.4409075000016,2,SHORT
ALLE,5050.083120000007,2525.0415600000033,2,SHORT
ALNY,5905.056019999962,268.41163727272556,22,SHORT
AMAT,-1670.3137100000151,-835.1568550000076,2,SHORT
AMD,-1325.1137950000038,-132.51137950000037,10,SHORT
AMGN,1068.0446650000927,106.80446650000927,10,SHORT
AMLP,86.7718499999969,86.7718499999969,1,SHORT
AMP,1427.1088549999904,118.92573791666587,12,SHORT
AMT,158.40039000002065,158.40039000002065,1,SHORT
AMZN,-766.6741899999931,-255.55806333333103,3,SHORT
ANET,-956.3018000000027,-956.3018000000027,1,SHORT
AON,2429.586099999977,303.6982624999971,8,SHORT
AOS,158.32537500000706,158.32537500000706,1,SHORT
APD,-90.24541500003352,-15.040902500005586,6,SHORT
APP,4103.184014999986,215.9570534210519,19,SHORT
APTV,341.7149200000043,113.90497333333478,3,SHORT
ARE,-681.181950000004,-340.590975000002,2,SHORT
ARM,1246.3585549999898,415.45285166666326,3,SHORT
ASML,3438.4992449999904,191.0277358333328,18,SHORT
AVB,1624.499280000004,812.249640000002,2,SHORT
AVGO,-2359.4476300000238,-262.1608477777804,9,SHORT
AVY,1308.2958749999962,654.1479374999981,2,SHORT
AWK,-69.50008999998954,-23.16669666666318,3,SHORT
AXON,11136.705854999866,484.2046023912985,23,SHORT
AXP,950.5215199999981,237.63037999999952,4,SHORT
AXSM,30.344269999976234,30.344269999976234,1,SHORT
AZO,3683.4268499999666,460.42835624999583,8,SHORT
BA,-535.9479550000002,-107.18959100000004,5,SHORT
BABA,2865.4729750000156,358.18412187500195,8,SHORT
BDX,-35.04943000000026,-17.52471500000013,2,SHORT
BIDU,2100.419999999989,2100.419999999989,1,SHORT
BIIB,1345.3090199999988,672.6545099999994,2,SHORT
BKNG,7226.30970000002,656.9372454545472,11,SHORT
BLDR,2760.077265000013,394.296752142859,7,SHORT
BLK,-325.532350000008,-32.553235000000804,10,SHORT
BOOT,-73.30624000001171,-8.145137777779079,9,SHORT
BR,200.6402549999754,50.16006374999385,4,SHORT
BX,1871.4654599999944,1871.4654599999944,1,SHORT
BXP,29.79899999998402,29.79899999998402,1,SHORT
BYND,5006.590060000011,1251.6475150000028,4,SHORT
BZH,2010.3062600000067,502.57656500000166,4,SHORT
BZUN,4048.2543300000043,4048.2543300000043,1,SHORT
CAH,1888.7881999999986,629.5960666666662,3,SHORT
CAR,3212.112825000105,321.2112825000105,10,SHORT
CAT,1850.9929799999481,205.6658866666609,9,SHORT
CB,-280.87295500001136,-70.21823875000284,4,SHORT
CDNS,2239.673909999974,248.8526566666638,9,SHORT
CDW,-1895.5636900000204,-631.8545633333401,3,SHORT
CEG,2489.0087150000245,138.2782619444458,18,SHORT
CGNX,-1980.3684250000172,-990.1842125000086,2,SHORT
CHTR,2588.2714599999927,161.76696624999954,16,SHORT
CI,8204.247964999955,911.5831072222172,9,SHORT
CMCSA,-34.77450000001028,-34.77450000001028,1,SHORT
CME,-399.22122000000024,-99.80530500000006,4,SHORT
CMI,1171.274759999992,234.2549519999984,5,SHORT
COF,-1443.8827100000042,-1443.8827100000042,1,SHORT
COIN,4545.983755000054,284.12398468750337,16,SHORT
COO,-282.8383599999951,-282.8383599999951,1,SHORT
COP,-550.9251600000077,-550.9251600000077,1,SHORT
COR,-470.9756799999899,-78.49594666666498,6,SHORT
