Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy
TLRY,32219.261566666697,947.6253401960794,34,LONG
CHRW,25035.51834999994,641.9363679487165,39,LONG
PLUG,22617.42678333333,779.9112683908045,29,LONG
MRVL,20926.5664999999,290.64675694444304,72,LONG
WDC,16100.570983333331,154.81318253205126,104,LONG
SNPS,8976.351516666662,179.52703033333324,50,LONG
MU,8704.13000000007,131.88075757575865,66,LONG
TMO,8549.188766666644,115.52957792792763,74,LONG
KEY,8210.357549999979,264.8502435483864,31,LONG
BZUN,8148.640483333293,428.87581491227854,19,LONG
ALNY,7318.18601666663,119.97026256830542,61,LONG
APA,6994.129033333309,155.4250896296291,45,LONG
EXAS,6854.881750000051,126.94225462963058,54,LONG
ALB,6839.669666666661,129.0503710691823,53,LONG
AXSM,6816.77563333336,158.52966589147348,43,LONG
RRC,6546.222849999933,172.2690223684193,38,LONG
APP,6491.9630333332825,96.89497064676542,67,LONG
AMGN,6050.008899999957,128.72359361702036,47,LONG
VRTX,5970.466816666616,119.40933633333232,50,LONG
MELI,5958.310500000029,270.83229545454674,22,LONG
