Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy,Avg_Price,Avg_Position_Value,Volatility_Ann,Total_Trades,Trading_Days,Trades_Per_Day,Estimated_Daily_Volume,Liquidity_Score,Liquidity_Tier,Market_Impact_Est,Market_Cap_Tier
AAPL,2052.6428399999795,410.5285679999959,5,SHORT,249.81274,122932.52016,7.328779684062046,5,5,1.0,6146626.008,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ABBV,1923.0508199999983,384.6101639999997,5,SHORT,224.446,128402.045,11.849907084364451,5,5,1.0,6420102.25,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ABT,-389.5134599999979,-389.5134599999979,1,SHORT,131.65,99790.7,0.0,1,1,1.0,4989535.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ACAD,424.6603199999987,424.6603199999987,1,SHORT,26.87,134941.14,0.0,1,1,1.0,6747057.000000001,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
ACN,447.4654000000161,74.57756666666936,6,SHORT,287.47049999999996,102764.1565,8.805737569832726,6,6,1.0,5138207.825,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ADBE,755.7042100000024,75.57042100000024,10,SHORT,372.98531,106612.81259000002,8.561949189830246,10,10,1.0,5330640.629500001,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ADI,222.6801049999906,222.6801049999906,1,SHORT,230.245,105221.965,0.0,1,1,1.0,5261098.25,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ADP,2264.714629999954,323.5306614285649,7,SHORT,301.15214285714285,106263.15357142857,7.937186722588879,7,7,1.0,5313157.678571428,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ADSK,1138.872050000008,379.6240166666694,3,SHORT,295.43666666666667,108760.22666666667,4.110031953618054,3,3,1.0,5438011.333333333,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AGIO,1259.946890000023,419.98229666667424,3,SHORT,25.241666666666664,133043.745,9.032034197343224,3,3,1.0,6652187.25,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
AIZ,1216.549160000019,304.13729000000467,4,SHORT,207.87625,116053.24125,2.4383602265172306,4,4,1.0,5802662.0625,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AJG,1.8378799999768631,0.2297349999971079,8,SHORT,292.840625,109805.63875,4.352095964053959,8,8,1.0,5490281.9375,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ALB,-2909.907969999997,-1454.9539849999987,2,SHORT,121.70249999999999,129223.22249999999,3.3817213246399342,2,2,1.0,6461161.124999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ALGN,2374.588839999999,1187.2944199999995,2,SHORT,150.5275,119832.01000000001,18.351062360966978,2,2,1.0,5991600.5,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ALL,458.8818150000032,229.4409075000016,2,SHORT,192.33249999999998,101840.1025,2.3056592583173057,2,2,1.0,5092005.125,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ALLE,5050.083120000007,2525.0415600000038,2,SHORT,172.5925,122971.6875,5.5081042480391025,2,2,1.0,6148584.375,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ALNY,5905.056019999962,268.4116372727256,22,SHORT,433.3035,122692.62079545455,7.287719842633153,22,22,1.0,6134631.0397727275,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AMAT,-1670.3137100000151,-835.1568550000076,2,SHORT,194.36,116949.315,6.9840717108594745,2,2,1.0,5847465.75,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AMD,-1325.1137950000038,-132.51137950000037,10,SHORT,188.61244000000002,124834.42856,14.44088068064013,10,10,1.0,6241721.428,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AMGN,1068.044665000093,106.80446650000928,10,SHORT,295.03249999999997,116258.18049999999,4.306051643527952,10,10,1.0,5812909.024999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AMLP,86.7718499999969,86.7718499999969,1,SHORT,46.92,133158.96,0.0,1,1,1.0,6657948.0,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
AMP,1427.1088549999904,118.92573791666588,12,SHORT,497.35450833333334,112040.314475,5.15431853044902,12,12,1.0,5602015.72375,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AMT,158.40039000002065,158.40039000002065,1,SHORT,176.52,129036.12000000001,0.0,1,1,1.0,6451806.000000001,50.0,Tier 3 (Moderate),1.9999999999999998,Large-cap ($10B-$200B)
AMZN,-766.6741899999931,-255.55806333333103,3,SHORT,226.4312,126827.38133333332,3.1127351971887904,3,3,1.0,6341369.066666666,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ANET,-956.3018000000028,-956.3018000000028,1,SHORT,141.755,121342.28,0.0,1,1,1.0,6067114.0,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AON,2429.586099999977,303.6982624999971,8,SHORT,350.41875000000005,113268.36624999999,6.437980778417426,8,8,1.0,5663418.3125,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Mega-cap ($200B+)
AOS,158.32537500000706,158.32537500000706,1,SHORT,67.415,123571.695,0.0,1,1,1.0,6178584.75,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
APD,-90.24541500003352,-15.040902500005586,6,SHORT,273.1283333333334,114709.85333333333,9.278142191050422,6,6,1.0,5735492.666666667,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
APP,4103.184014999986,215.9570534210519,19,SHORT,533.1595315789474,121170.13018421052,12.605347567827248,19,19,1.0,6058506.509210526,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
APTV,341.7149200000043,113.90497333333478,3,SHORT,76.59833333333331,133637.96666666667,6.491220064945901,3,3,1.0,6681898.333333334,50.0,Tier 3 (Moderate),2.0,Mid-cap ($2B-$10B)
ARE,-681.181950000004,-340.590975000002,2,SHORT,69.52250000000001,112904.83499999999,15.938884597832152,2,2,1.0,5645241.75,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Mid-cap ($2B-$10B)
ARM,1246.3585549999898,415.45285166666326,3,SHORT,149.93179999999998,110679.49660000001,7.494383851991797,3,3,1.0,5533974.830000001,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
ASML,3438.4992449999904,191.0277358333328,18,SHORT,841.015,114785.48999999999,8.192789769299976,18,18,1.0,5739274.5,50.00000000000001,Tier 2 (Liquid),1.9999999999999998,Mega-cap ($200B+)
AVB,1624.499280000004,812.249640000002,2,SHORT,203.4875,101844.82250000001,11.290612550922324,2,2,1.0,5092241.125,49.99999999999999,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AVGO,-2359.447630000024,-262.1608477777804,9,SHORT,320.29389999999995,117258.28064444444,13.237191613817734,9,9,1.0,5862914.032222223,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AVY,1308.2958749999962,654.1479374999981,2,SHORT,175.07,107356.79999999999,22.43583474256311,2,2,1.0,5367839.999999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AWK,-69.50008999998954,-23.16669666666318,3,SHORT,135.62503333333336,118169.03493333333,3.918406978805843,3,3,1.0,5908451.746666666,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AXON,11136.705854999866,484.2046023912985,23,SHORT,691.6132130434781,115269.89965652174,13.946049651296896,23,23,1.0,5763494.982826087,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AXP,950.521519999998,237.63037999999952,4,SHORT,306.689475,106661.65229999999,3.3436493768001863,4,4,1.0,5333082.614999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AXSM,30.344269999976238,30.344269999976238,1,SHORT,146.2025,129681.6175,0.0,1,1,1.0,6484080.875,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
AZO,3683.426849999967,460.42835624999583,8,SHORT,3700.350625,126677.54375,6.13242632919293,8,8,1.0,6333877.1875,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BA,-535.9479550000002,-107.18959100000004,5,SHORT,200.778,109843.005,7.419671721803056,5,5,1.0,5492150.25,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BABA,2865.472975000016,358.18412187500195,8,SHORT,142.19265000000001,124162.0877875,7.989485766674549,8,8,1.0,6208104.389375,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BDX,-35.04943000000026,-17.52471500000013,2,SHORT,188.21749999999997,126342.8725,22.41701182281496,2,2,1.0,6317143.625,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
BIDU,2100.419999999989,2100.419999999989,1,SHORT,134.135,117368.12499999999,0.0,1,1,1.0,5868406.249999999,50.0,Tier 3 (Moderate),2.0,Large-cap ($10B-$200B)
