Symbol,Total_PnL,Avg_PnL,Trade_Count,Market_Cap_Tier,Liquidity_Score,Volatility_Ann
BYND,-14042.538416666664,-702.1269208333331,20,Mid-cap ($2B-$10B),50.0,71.3795172860392
SQQQ,-9990.48188333334,-312.2025588541669,32,Mid-cap ($2B-$10B),50.0,9.287618294615248
FICO,-6499.289499999941,-249.9726730769208,26,Large-cap ($10B-$200B),50.0,11.394588801011501
CEG,-5907.595333333338,-92.3061770833334,64,Large-cap ($10B-$200B),50.0,8.125098595882934
FDX,-5798.147216666759,-92.03408280423427,63,Large-cap ($10B-$200B),50.0,5.5079067191208635
TTD,-5573.81381666672,-139.34534541666798,40,Mid-cap ($2B-$10B),50.0,8.887509116500993
UBER,-5092.072666666638,-115.7289242424236,44,Mid-cap ($2B-$10B),50.0,6.2569309755166085
SHOP,-4229.215316666676,-91.9394634057973,46,Large-cap ($10B-$200B),50.0,8.107953107634007
MNST,-4004.756783333367,-88.99459518518593,45,Mid-cap ($2B-$10B),50.0,5.963013416416843
SPXS,-3963.517350000053,-127.85539838709848,31,Mid-cap ($2B-$10B),50.0,7.644275008802816
EXPE,-3751.5411000000095,-61.50067377049196,61,Large-cap ($10B-$200B),50.0,8.441387699314733
JBLU,-3740.502549999917,-155.85427291666323,24,Mid-cap ($2B-$10B),50.0,13.147746392727411
KLAC,-3648.6106166665695,-84.85140968992025,43,Large-cap ($10B-$200B),50.0,8.267870361228677
KSS,-3395.5708166666227,-56.592846944443714,60,Mid-cap ($2B-$10B),50.0,38.92987079074711
NIO,-3280.835300000028,-102.52610312500089,32,Mid-cap ($2B-$10B),50.0,12.867155337206329
ERIE,-3255.371833333287,-465.0531190476125,7,Large-cap ($10B-$200B),50.0,19.73716450845552
ACAD,-3250.663083333282,-48.51735945273556,67,Mid-cap ($2B-$10B),50.0,6.919481825082811
WYNN,-3129.117999999995,-53.03589830508466,59,Large-cap ($10B-$200B),50.0,7.409926105192068
APH,-3063.3084500000405,-48.623943650794295,63,Large-cap ($10B-$200B),50.0,5.294574946053076
CHD,-2947.3676333333933,-184.21047708333708,16,Mid-cap ($2B-$10B),50.0,6.9741134732598145
