Symbol,Total_PnL,Avg_PnL,Trade_Count,Market_Cap_Tier,Liquidity_Score,Volatility_Ann
TLRY,32219.261566666697,947.6253401960794,34,Mid-cap ($2B-$10B),50.0,64.74249560311998
CHRW,25035.51834999994,641.9363679487165,39,Large-cap ($10B-$200B),50.0,51.52227358832244
PLUG,22617.42678333333,779.9112683908045,29,Mid-cap ($2B-$10B),50.0,81.40678992047825
MRVL,20926.5664999999,290.64675694444304,72,Mid-cap ($2B-$10B),50.0,23.414992625382595
WDC,16100.570983333331,154.81318253205126,104,Large-cap ($10B-$200B),50.0,13.693454723833298
SNPS,8976.351516666662,179.52703033333324,50,Large-cap ($10B-$200B),50.0,15.315820244132588
MU,8704.13000000007,131.88075757575865,66,Large-cap ($10B-$200B),50.0,15.8633873838906
TMO,8549.188766666644,115.52957792792763,74,Large-cap ($10B-$200B),50.0,10.447204714369983
KEY,8210.357549999979,264.8502435483864,31,Mid-cap ($2B-$10B),50.0,13.258148773966447
BZUN,8148.640483333293,428.87581491227854,19,Mid-cap ($2B-$10B),50.0,32.139206325554206
ALNY,7318.18601666663,119.97026256830542,61,Large-cap ($10B-$200B),50.0,11.335407164187284
APA,6994.129033333309,155.4250896296291,45,Mid-cap ($2B-$10B),50.0,12.272557334509337
EXAS,6854.881750000051,126.94225462963058,54,Mid-cap ($2B-$10B),50.0,10.236582153798492
ALB,6839.669666666661,129.0503710691823,53,Mid-cap ($2B-$10B),50.0,18.62611761361066
AXSM,6816.77563333336,158.52966589147348,43,Large-cap ($10B-$200B),50.0,10.89560901689559
RRC,6546.222849999933,172.2690223684193,38,Mid-cap ($2B-$10B),50.0,11.717766500373646
APP,6491.9630333332825,96.89497064676542,67,Large-cap ($10B-$200B),50.0,13.343557680250276
AMGN,6050.008899999957,128.72359361702036,47,Large-cap ($10B-$200B),50.0,6.736392598482782
VRTX,5970.466816666616,119.40933633333232,50,Large-cap ($10B-$200B),50.0,10.488201423459287
MELI,5958.310500000029,270.83229545454674,22,Large-cap ($10B-$200B),50.0,15.968148945220983
