Symbol,Total_PnL,Avg_PnL,Trade_Count,Market_Cap_Tier,Liquidity_Score,Volatility_Ann
TEAM,20922.81069499997,1743.5675579166643,12,Large-cap ($10B-$200B),50.0,45.46969919524927
NOW,12646.88537999994,436.0994958620669,29,Large-cap ($10B-$200B),50.0,15.656653120926062
MELI,12117.89729999992,448.8110111111081,27,Large-cap ($10B-$200B),49.99999999999999,12.056382353593614
AXON,11136.705854999866,484.2046023912985,23,Large-cap ($10B-$200B),50.0,13.946049651296896
VRSK,9672.525705,1074.7250783333334,9,Large-cap ($10B-$200B),50.0,25.839921214986987
CSIQ,9094.429999999977,4547.214999999988,2,Mid-cap ($2B-$10B),50.0,34.52102311748458
SNPS,8750.53612999995,380.4580926086935,23,Large-cap ($10B-$200B),50.0,15.87524772097331
LLY,8683.251525000016,271.3516101562505,32,Mega-cap ($200B+),50.00000000000001,9.351769220516484
LULU,8447.840134999999,1206.834305,7,Large-cap ($10B-$200B),50.0,21.470330739715575
ORCL,8361.951499999972,522.6219687499982,16,Large-cap ($10B-$200B),50.0,12.970856261762448
FICO,8226.786050000008,1175.255150000001,7,Large-cap ($10B-$200B),50.0,27.25812981609559
CI,8204.247964999955,911.5831072222172,9,Large-cap ($10B-$200B),50.0,17.102830931365617
COST,8192.581479999983,199.81906048780445,41,Large-cap ($10B-$200B),50.0,6.269277533303604
SPOT,8027.683270000014,200.69208175000037,40,Large-cap ($10B-$200B),50.0,9.321991212763631
ISRG,7940.990194999965,294.1107479629617,27,Large-cap ($10B-$200B),50.0,12.98644880896394
URI,7437.502230000043,437.50013117647313,17,Large-cap ($10B-$200B),50.0,13.755138537886094
CRWD,7418.974604999996,285.34517711538444,26,Large-cap ($10B-$200B),50.0,16.33601156318436
BKNG,7226.30970000002,656.9372454545472,11,Large-cap ($10B-$200B),50.0,5.993493600382347
TSLA,6261.17654500001,272.2250671739135,23,Large-cap ($10B-$200B),50.0,9.38990623975237
MSTR,6122.44389499997,226.7571812962952,27,Large-cap ($10B-$200B),50.0,26.08060291272948
