Symbol,Total_PnL,Trade_Count,Liquidity_Score,Market_Impact_Est
AAL,-1459.8895999999804,25,50.0,2.0
ABT,-1044.1860499999602,46,50.0,2.0
ACAD,-3250.663083333282,67,50.0,2.0
ACN,-1615.3051666667088,39,50.0,2.0
AGIO,-1973.0943333334217,31,50.0,2.0
AIG,-1442.9916666667705,25,50.0,2.0
AMAT,-893.8432666667286,55,50.0,2.0
AMC,-281.9679000000251,17,50.0,2.0
AME,-247.00631666669503,24,50.0,2.0
AMLP,-243.01855000001524,22,50.0,2.0
AMP,-996.039699999994,24,50.0,2.0
AMT,-759.4460833333433,29,50.0,2.0
AOS,-1521.6931999999724,35,50.0,2.0
APD,-165.36131666666188,27,50.0,2.0
APH,-3063.3084500000405,63,50.0,2.0
AVB,-571.3415833333347,11,50.0,2.0
AXON,-114.5576166666433,31,50.0,2.0
AZO,-1072.1508333333477,11,49.99999999999999,2.0
BABA,-1808.055250000005,42,50.0,2.0
BAX,-373.21713333332445,16,50.0,2.0
BBD,-470.1333500000037,21,50.0,2.0
BIIB,-92.01769999989484,54,50.0,2.0
BLDR,-1060.524633333349,26,50.0,2.0
BMY,-1874.0252999999864,50,50.0,2.0
BX,-1050.8467666667275,45,50.0,2.0
BYND,-14042.538416666664,20,50.0,2.0
BZH,-902.0716666666848,7,50.0,2.0
C,-180.8706500000117,68,50.0,2.0
CAR,-2850.10170000005,42,50.0,2.0
CARR,-1636.376083333329,25,50.0,2.0
CCEP,-1165.551549999931,42,50.0,2.0
CCI,-91.93853333334846,23,50.0,2.0
CEG,-5907.595333333338,64,50.0,2.0
CF,-2465.3140000000058,31,50.0,2.0
CGNX,-1823.2368833333749,43,50.0,2.0
CHD,-2947.3676333333933,16,50.0,2.0
CHTR,-1506.8571666666685,33,50.0,2.0
CLX,-379.8139499999816,20,50.0,2.0
CMG,-80.41335000002437,18,50.0,2.0
CNQ,-1716.824533333347,54,50.0,2.0
COST,-2457.3831000000573,41,50.0,2.0
CTAS,-893.0001166666698,16,50.0,2.0
CTRA,-515.6146000000299,27,50.0,2.0
CTVA,-1889.6252333333105,31,50.0,2.0
CVS,-2294.1034500000023,53,50.0,2.0
CVX,-2057.9861499999897,61,50.0,2.0
D,-709.146033333338,35,50.0,2.0
DASH,-998.0180333333046,71,50.0,2.0
DE,-121.69431666672608,26,50.0,2.0
DECK,-2146.665766666658,39,50.0,2.0
DG,-532.1161833333681,26,50.0,2.0
DHR,-25.861716666688157,50,50.0,2.0
DOC,-1804.837566666676,29,50.0,2.0
DOV,-159.06111666664947,19,50.0,2.0
DOW,-425.8148500000243,25,50.0,2.0
DPZ,-817.6954000000114,25,50.0,2.0
DRI,-469.1079833333715,22,50.0,2.0
DUST,-2117.0579666666745,32,50.0,2.0
ECL,-30.138833333279763,31,50.0,2.0
ED,-1454.9675666666226,24,50.0,2.0
EEM,-42.20463333326188,34,50.0,2.0
EQR,-252.94295000001148,17,50.0,2.0
ERIE,-3255.371833333287,7,50.0,2.0
ESS,-1655.0936333333666,14,50.0,2.0
ETN,-682.9542999999758,41,50.0,2.0
ETR,-537.3610833333441,30,50.0,2.0
EVRG,-608.3515333332834,43,50.0,2.0
EWZ,-951.6703666667528,48,50.0,2.0
EXC,-406.07105000003503,38,50.0,2.0
EXPE,-3751.5411000000095,61,50.0,2.0
EXR,-265.2015000000247,25,50.0,2.0
FAST,-1276.918733333383,28,50.0,2.0
FDX,-5798.147216666759,63,50.0,2.0
FICO,-6499.289499999941,26,50.0,2.0
