Symbol,Total_PnL,Trade_Count,Liquidity_Score,Market_Impact_Est
AMD,-1325.1137950000038,10,50.0,2.0
APD,-90.24541500003352,6,50.0,2.0
AVGO,-2359.447630000024,9,50.0,2.0
BLK,-325.532350000008,10,50.0,2.0
BOOT,-73.30624000001171,9,50.0,2.0
COR,-470.9756799999899,6,49.99999999999999,2.0
CPAY,-37.90194000000321,7,50.0,2.0
DPZ,-354.93364000002555,15,50.0,2.0
EG,-1170.154304999974,6,50.0,2.0
FFIV,-539.0477199999798,6,50.0,2.0
PLTR,-1781.5184799999906,7,50.0,2.0
TTWO,-880.4888399999469,9,49.99999999999999,2.0
